iter	Passed	Remaining
0	1	109
1	2	100
2	3	97
3	4	101
4	5	100
5	6	100
6	7	99
7	8	99
8	9	98
9	10	98
10	11	96
11	12	95
12	13	93
13	14	91
14	15	90
15	16	88
16	17	87
17	18	86
18	20	85
19	21	84
20	22	83
21	23	81
22	24	80
23	24	79
24	25	77
25	26	76
26	27	75
27	29	74
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	63
38	40	62
39	41	61
40	42	60
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	59	42
58	60	41
59	61	40
60	61	39
61	62	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
