iter	Passed	Remaining
0	1	1277
1	2	1410
2	3	1220
3	4	1125
4	5	1066
5	6	1010
6	6	965
7	7	949
8	8	925
9	9	914
10	10	899
11	11	920
12	13	993
13	14	989
14	14	977
15	15	958
16	16	941
17	16	924
18	17	916
19	18	907
20	19	900
21	20	892
22	20	881
23	21	873
24	22	867
25	22	861
26	23	853
27	24	848
28	25	842
29	25	838
30	26	839
31	27	833
32	28	826
33	28	823
34	29	819
35	30	814
36	31	811
37	31	808
38	32	808
39	33	804
40	34	802
41	35	800
42	35	796
43	36	793
44	37	790
45	38	789
46	41	847
47	42	847
48	43	848
49	44	847
50	45	844
51	46	845
52	47	842
53	47	839
54	48	839
55	49	837
56	50	835
57	51	839
58	52	838
59	53	837
60	54	838
61	56	848
62	56	846
63	57	844
64	58	842
65	59	839
66	60	835
67	60	833
68	61	829
69	62	825
70	62	822
71	63	819
72	64	816
73	65	814
74	65	812
75	66	810
76	67	807
77	68	803
78	68	802
79	69	799
80	70	795
81	70	792
82	71	785
83	71	781
84	72	780
85	73	777
86	73	774
87	74	771
88	75	769
89	75	766
90	76	763
91	77	760
92	77	758
93	78	755
94	79	752
95	79	752
96	80	750
97	81	748
98	81	745
99	82	742
100	83	739
101	83	736
102	84	733
103	84	731
104	85	728
105	86	725
106	86	722
107	87	719
108	87	716
109	88	714
110	88	711
111	89	709
112	89	706
113	90	703
114	91	701
115	91	698
116	92	695
117	92	693
118	93	692
119	94	691
120	94	689
121	95	686
122	96	684
123	96	682
124	97	680
125	97	677
126	98	674
127	98	672
128	99	670
129	99	668
130	100	666
131	101	664
132	101	662
133	102	659
134	102	658
135	103	655
136	103	653
137	104	651
138	104	649
139	105	647
140	106	646
141	106	642
142	106	641
143	108	642
144	108	641
145	109	641
146	110	639
147	110	638
148	111	636
149	112	635
150	112	633
151	113	631
152	113	630
153	114	628
154	114	626
155	115	624
156	116	623
157	116	621
158	117	620
159	117	618
160	118	615
161	118	614
162	119	612
163	119	610
164	120	609
165	120	607
166	121	606
167	122	605
168	122	604
169	123	603
170	124	602
171	125	602
172	125	600
173	126	599
174	127	598
175	127	597
176	128	596
177	128	595
178	129	593
179	130	592
180	130	591
181	131	589
182	131	588
183	132	586
184	132	585
185	133	584
186	134	582
187	134	581
188	135	580
189	135	578
190	136	577
191	137	577
192	137	576
193	138	575
194	139	574
195	139	573
196	140	572
197	140	570
198	141	569
199	142	568
200	142	567
201	143	566
202	144	565
203	144	564
204	145	564
205	146	563
206	146	562
207	147	561
208	148	560
209	148	559
210	149	557
211	149	556
212	150	556
213	151	556
214	152	555
215	152	554
216	153	553
217	154	552
218	154	551
219	155	550
220	155	548
221	156	547
222	156	546
223	157	545
224	157	544
225	158	543
226	159	541
227	159	540
228	160	539
229	160	538
230	161	537
231	161	536
232	162	535
233	163	534
234	163	532
235	164	532
236	165	531
237	165	530
238	166	528
239	166	527
240	167	526
241	167	525
242	168	525
243	169	524
244	169	523
245	170	522
246	171	521
247	171	520
248	172	519
249	172	518
250	173	517
251	174	516
252	174	515
253	175	514
254	175	513
255	176	512
256	176	511
257	177	510
258	178	509
259	178	508
260	179	507
261	179	506
262	180	505
263	181	504
264	181	503
265	182	502
266	182	502
267	183	501
268	184	500
269	184	499
270	185	498
271	186	498
272	186	497
273	187	495
274	187	494
275	188	493
276	188	493
277	189	492
278	190	491
279	190	490
280	191	489
281	191	488
282	192	487
283	193	486
284	193	486
285	194	486
286	195	485
287	196	484
288	196	483
289	197	483
290	197	482
291	198	481
292	199	480
293	199	480
294	200	479
295	201	478
296	201	477
297	202	476
298	203	476
299	203	475
300	204	475
301	205	474
302	206	473
303	206	473
304	207	472
305	208	471
306	208	470
307	209	470
308	209	469
309	210	468
310	210	467
311	211	466
312	212	465
313	212	464
314	213	463
315	213	463
316	214	462
317	215	461
318	215	460
319	216	459
320	217	459
321	217	458
322	218	457
323	218	456
324	219	455
325	219	454
326	220	453
327	221	452
328	221	452
329	222	451
330	222	450
331	223	449
332	224	448
333	224	447
334	225	446
335	225	445
336	226	445
337	226	444
338	227	443
339	228	442
340	228	441
341	229	441
342	229	440
343	230	439
344	231	438
345	231	438
346	232	437
347	233	436
348	233	435
349	234	434
350	234	434
351	235	433
352	236	432
353	236	431
354	237	431
355	237	430
356	238	429
357	239	428
358	239	428
359	240	427
360	241	426
361	241	426
362	242	426
363	243	425
364	245	426
365	245	426
366	246	425
367	247	424
368	248	424
369	248	423
370	249	422
371	249	421
372	250	421
373	251	420
374	251	419
375	252	418
376	252	417
377	253	417
378	254	416
379	254	415
380	255	414
381	255	413
382	256	412
383	256	412
384	257	411
385	258	410
386	258	409
387	259	409
388	260	408
389	260	407
390	261	406
391	261	406
392	262	405
393	262	404
394	263	403
395	264	402
396	264	402
397	265	401
398	265	400
399	266	399
400	266	398
401	267	397
402	268	397
403	268	396
404	269	395
405	269	394
406	270	393
407	270	392
408	271	392
409	271	391
410	272	390
411	273	389
412	273	389
413	274	388
414	274	387
415	275	386
416	276	385
417	276	385
418	277	384
419	277	383
420	278	382
421	279	382
422	279	381
423	280	380
424	280	379
425	281	379
426	281	378
427	282	377
428	283	376
429	283	375
430	284	375
431	284	374
432	285	373
433	285	372
434	286	372
435	287	371
436	287	370
437	288	370
438	288	369
439	289	368
440	290	367
441	290	366
442	291	366
443	291	365
444	292	364
445	292	363
446	293	363
447	294	362
448	294	361
449	295	360
450	295	360
451	296	359
452	297	358
453	297	358
454	298	357
455	298	356
456	299	355
457	300	355
458	300	354
459	301	353
460	302	353
461	302	352
462	303	351
463	304	351
464	304	350
465	305	349
466	305	348
467	306	348
468	306	347
469	307	346
470	307	345
471	308	345
472	309	344
473	309	343
474	310	342
475	310	342
476	311	341
477	311	340
478	312	339
479	312	339
480	313	338
481	314	337
482	314	336
483	315	336
484	315	335
485	316	334
486	317	333
487	317	333
488	318	332
489	318	331
490	319	331
491	320	330
492	321	330
493	322	330
494	323	329
495	323	328
496	324	328
497	324	327
498	325	326
499	326	326
500	326	325
501	327	324
502	327	323
503	328	323
504	328	322
505	329	321
506	330	320
507	330	320
508	331	319
509	331	318
510	332	318
511	333	317
512	333	316
513	334	316
514	335	315
515	336	315
516	336	314
517	337	314
518	338	313
519	338	312
520	339	311
521	339	311
522	340	310
523	340	309
524	341	308
525	342	308
526	342	307
527	343	306
528	343	306
529	344	305
530	344	304
531	345	303
532	345	303
533	346	302
534	347	301
535	347	301
536	348	300
537	349	300
538	349	299
539	350	298
540	351	297
541	351	297
542	352	296
543	352	295
544	353	295
545	354	294
546	354	293
547	355	293
548	355	292
549	356	291
550	356	290
551	357	290
552	358	289
553	358	288
554	359	287
555	359	287
556	360	286
557	360	285
558	361	285
559	362	284
560	362	283
561	363	283
562	364	282
563	364	282
564	365	281
565	366	280
566	366	280
567	367	279
568	367	278
569	368	277
570	368	277
571	369	276
572	370	275
573	370	275
574	371	274
575	371	273
576	372	273
577	372	272
578	373	271
579	374	270
580	374	270
581	375	269
582	375	268
583	376	268
584	377	267
585	378	267
586	378	266
587	379	265
588	379	265
589	380	264
590	381	263
591	381	263
592	382	262
593	382	261
594	383	260
595	383	260
596	384	259
597	385	258
598	385	258
599	386	257
600	386	256
601	387	256
602	387	255
603	388	254
604	389	254
605	389	253
606	390	252
607	390	252
608	391	251
609	392	250
610	392	250
611	393	249
612	394	248
613	394	248
614	395	247
615	395	246
616	396	246
617	397	245
618	397	244
619	398	244
620	398	243
621	399	242
622	400	242
623	400	241
624	401	240
625	401	240
626	402	239
627	403	238
628	403	238
629	404	237
630	404	236
631	405	235
632	405	235
633	406	234
634	407	234
635	408	233
636	408	232
637	409	232
638	410	231
639	410	230
640	411	230
641	411	229
642	412	228
643	412	228
644	413	227
645	414	226
646	414	226
647	415	225
648	415	224
649	416	224
650	416	223
651	417	222
652	418	222
653	418	221
654	419	220
655	420	220
656	420	219
657	421	218
658	421	218
659	422	217
660	423	217
661	423	216
662	424	215
663	425	215
664	425	214
665	426	213
666	427	213
667	427	212
668	428	211
669	428	211
670	429	210
671	430	209
672	430	209
673	431	208
674	431	207
675	432	207
676	433	206
677	433	205
678	434	205
679	435	204
680	436	204
681	436	203
682	437	202
683	437	202
684	438	201
685	439	200
686	439	200
687	440	199
688	440	198
689	441	198
690	441	197
691	442	196
692	443	196
693	443	195
694	444	194
695	444	194
696	445	193
697	445	192
698	446	192
699	447	191
700	447	190
701	448	190
702	448	189
703	449	188
704	450	188
705	450	187
706	451	187
707	452	186
708	452	185
709	453	185
710	454	184
711	454	183
712	455	183
713	455	182
714	456	181
715	457	181
716	457	180
717	458	179
718	458	179
719	459	178
720	459	177
721	460	177
722	460	176
723	461	175
724	462	175
725	462	174
726	463	173
727	463	173
728	464	172
729	464	171
730	465	171
731	466	170
732	466	170
733	467	169
734	468	168
735	468	168
736	469	167
737	469	166
738	470	166
739	470	165
740	471	164
741	471	164
742	472	163
743	473	162
744	473	162
745	474	161
746	474	160
747	475	160
748	476	159
749	476	158
750	477	158
751	477	157
752	478	156
753	478	156
754	479	155
755	480	154
756	480	154
757	481	153
758	481	153
759	482	152
760	483	151
761	483	151
762	484	150
763	484	149
764	485	149
765	485	148
766	486	147
767	487	147
768	487	146
769	488	145
770	488	145
771	489	144
772	489	143
773	490	143
774	491	142
775	491	141
776	492	141
777	492	140
778	493	140
779	494	139
780	494	138
781	495	138
782	495	137
783	496	136
784	497	136
785	497	135
786	498	134
787	499	134
788	499	133
789	500	132
790	500	132
791	501	131
792	501	130
793	502	130
794	502	129
795	503	129
796	504	128
797	504	127
798	505	127
799	505	126
800	506	125
801	507	125
802	507	124
803	508	123
804	508	123
805	509	122
806	509	121
807	510	121
808	511	120
809	511	120
810	512	119
811	513	118
812	514	118
813	514	117
814	515	116
815	515	116
816	516	115
817	516	114
818	517	114
819	517	113
820	518	113
821	519	112
822	519	111
823	520	111
824	520	110
825	521	109
826	521	109
827	522	108
828	523	107
829	523	107
830	524	106
831	524	105
832	525	105
833	525	104
834	526	104
835	527	103
836	527	102
837	528	102
838	528	101
839	529	100
840	530	100
841	530	99
842	531	98
843	532	98
844	532	97
845	533	97
846	534	96
847	534	95
848	535	95
849	535	94
850	536	93
851	537	93
852	537	92
853	538	92
854	539	91
855	539	90
856	540	90
857	541	89
858	541	88
859	542	88
860	542	87
861	543	87
862	544	86
863	544	85
864	545	85
865	545	84
866	546	83
867	547	83
868	547	82
869	548	81
870	548	81
871	549	80
872	550	80
873	550	79
874	551	78
875	551	78
876	552	77
877	552	76
878	553	76
879	553	75
880	554	74
881	555	74
882	555	73
883	556	73
884	557	72
885	557	71
886	558	71
887	558	70
888	559	69
889	560	69
890	560	68
891	561	67
892	561	67
893	562	66
894	563	66
895	563	65
896	564	64
897	564	64
898	565	63
899	565	62
900	566	62
901	567	61
902	567	60
903	568	60
904	568	59
905	569	59
906	569	58
907	570	57
908	571	57
909	571	56
910	572	55
911	573	55
912	573	54
913	574	54
914	574	53
915	575	52
916	576	52
917	577	51
918	577	50
919	578	50
920	578	49
921	579	49
922	580	48
923	580	47
924	581	47
925	581	46
926	582	45
927	582	45
928	583	44
929	584	43
930	584	43
931	585	42
932	585	42
933	586	41
934	587	40
935	587	40
936	588	39
937	589	38
938	589	38
939	590	37
940	591	37
941	591	36
942	592	35
943	592	35
944	593	34
945	593	33
946	594	33
947	595	32
948	595	32
949	596	31
950	596	30
951	597	30
952	597	29
953	598	28
954	599	28
955	599	27
956	600	26
957	600	26
958	601	25
959	602	25
960	602	24
961	603	23
962	604	23
963	604	22
964	605	21
965	605	21
966	606	20
967	606	20
968	607	19
969	608	18
970	608	18
971	609	17
972	609	16
973	610	16
974	610	15
975	611	15
976	611	14
977	612	13
978	613	13
979	613	12
980	614	11
981	614	11
982	615	10
983	616	10
984	616	9
985	617	8
986	618	8
987	618	7
988	619	6
989	620	6
990	620	5
991	621	5
992	622	4
993	622	3
994	623	3
995	623	2
996	624	1
997	624	1
998	625	0
999	626	0
